our_code,our_label,our_status,our_ziel,s_sheet,s_row,s_label,s_status_value,s_ziel_value,s_status_formula,s_ziel_formula,d_status_ref,d_ziel_ref,label_overlap,status_match,status_scale,ziel_match,ziel_scale,confidence
6.1.3.1.1,Biokraftstoff (flüssig),25012.84,4302.6,2. Erneuerbare,131,Biokraftstoff (flüssig),24973,4302.6,=L129*L130%,=M129*M130%,,,1.0,True,1.0,True,1.0,HIGH
6.1.3.2,davon Einsatz für Verstromung,0.9,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.6,True,0.001,True,1.0,HIGH
6.1.3.2.1,Nutzungsgrad Blockheizkraftwerk,39.0,39.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
6.1.3.2.2,Bruttostromerzeugung,88.5924,0.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,1.0,HIGH
6.1.3.2.3,Nutzungsgrad KWK-Abwärme effektiv,50.0,50.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
6.1.3.2.4,Gebäudewärme (Endenergie),113.58000000000001,0.0,2. Erneuerbare,112,Gebäudewärme (Endenergie),19431.7392172003,0,=L104*L108%*L111%,=M104*M108%*M111%,,,1.0,False,1.0,True,1.0,MED
6.2,Bioethanol,0.0,0.0,2. Erneuerbare,8,*,6.361941775018258,1.1,=AT8,"=IF(P8="""",AU8,P8)",,,0.0,True,1000.0,True,1000.0,HIGH
6.2.1,Anbaufläche Energiepflanzen für Bioethanol,216200.0,0.0,2. Erneuerbare,140,Anbaufläche Energiepfl. für Bioethanol,216200,0,=AP140,"=IF(P140="""",AQ140,P140)",,,0.75,True,1.0,True,1.0,HIGH
6.2.1.1,Bioethanol – Energieertrag (brutto),17.1,13.7,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
6.2.1.2,Bioethanol aus eigenem Anbau,3697.0200000000004,0.0,2. Erneuerbare,142,+,3700.71702,0,=L140*L141/1000,=M140*M141/1000,,,0.0,True,1.0,True,1.0,HIGH
6.2.2,Bioethanol aus Import (+) / Export (-),4991.0,0.0,2. Erneuerbare,144,+,4991.28298,0,=AT144,"=IF(P144="""",AU144,P144)",,,0.0,True,1.0,True,1.0,HIGH
