our_code,our_label,match_score,excel_row,excel_label,status,notes
6.1.3.1,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.3.1.1,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.3.2,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.3.2.1,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.3.2.2,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.3.2.3,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.3.2.4,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.2,Bioethanol / Biogene Brennstoffe (flüssig),0.50,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.2.1,Bioethanol Anbau / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.2.1.1,Bioethanol Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.2.1.2,Bioethanol Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.2.2,Bioethanol Anbau / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.2.3,Bioethanol Anbau / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
7.1,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.1,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.2,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.2.1,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.2.2,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.2.3,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.3,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.4.1,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.4.2,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.4.3,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.4.3.1,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.4.3.2,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.4.3.3,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7.1.4.3.4,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
7,Wärmepumpe / Umgebungswärme,1.00,517,Umgebungswärme (Wärmepumpe),MATCHED,"overlap: umgebungswärme,wärmepumpe"
8,Geothermie / Tiefengeothermie,0.50,551,Tiefen-Geothermie,PARTIAL,overlap: geothermie
8.1,Geothermie / Tiefengeothermie,0.50,551,Tiefen-Geothermie,PARTIAL,overlap: geothermie
8.1.1,Geothermie / Tiefengeothermie,0.50,551,Tiefen-Geothermie,PARTIAL,overlap: geothermie
8.1.2,Geothermie / Tiefengeothermie,0.50,551,Tiefen-Geothermie,PARTIAL,overlap: geothermie
8.2,Geothermie / Tiefengeothermie,0.50,551,Tiefen-Geothermie,PARTIAL,overlap: geothermie
9,Stromspeicherung / Stromwandlung,0.33,634,Stromspeicherung gesamt - Nutzungsgrad,PARTIAL,overlap: stromspeicherung
9.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.1.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.1.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.1.3,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.1.4,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.1.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.1.1.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.1.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.2.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.2.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.3,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.3.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.3.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.4,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.4.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.4.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.5,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.5.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.5.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.5.2.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.2.1.5.2.2,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
9.3,Stromspeicherung / Stromwandlung,0.33,634,Stromspeicherung gesamt - Nutzungsgrad,PARTIAL,overlap: stromspeicherung
9.3.1,Stromwandlung / Stromwandlung,0,,,NO_MATCH,
