our_code,our_label,status_ours,ziel_ours,excel_row,excel_label,status_col,status_excel,ziel_col,ziel_excel,confidence,notes
10.5,Erneuerbare Quellen / Endenergie,63273.416894164184,490263.8743195712,,,,,,,LOW,no value+label match
10.5.1,Erneuerbare Quellen / Endenergie,25653.094246572244,132746.51333457025,,,,,,,LOW,no value+label match
10.5.1.1,Erneuerbare Quellen / Endenergie,0.0,17154.151106885245,,,,,,,LOW,no value+label match
10.5.1.2,Erneuerbare Quellen / Endenergie,0.0,0.0,662,- STATUS-Ansatz: Die Einfuhr von Strom aus erneuerbaren Quellen von außerhalb De,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
10.5.1.3,Erneuerbare Quellen / Endenergie,0.0,0.0,662,- STATUS-Ansatz: Die Einfuhr von Strom aus erneuerbaren Quellen von außerhalb De,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
10.5.1.4,Erneuerbare Quellen / Endenergie,25653.094246572244,115592.362227685,,,,,,,LOW,no value+label match
10.5.2,Erneuerbare Quellen / Endenergie,0.0,0.0,662,- STATUS-Ansatz: Die Einfuhr von Strom aus erneuerbaren Quellen von außerhalb De,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
10.5.3,Erneuerbare Quellen / Endenergie,37620.32264759194,357517.36098500097,,,,,,,LOW,no value+label match
10.6,Erneuerbare Quellen / Endenergie,49565.604244409915,388739.4609026299,,,,,,,LOW,no value+label match
10.6.1,Erneuerbare Quellen / Endenergie,34786.602,191217.70083976,,,,,,,LOW,no value+label match
10.6.1.1,Erneuerbare Quellen / Endenergie,0.0,0.0,662,- STATUS-Ansatz: Die Einfuhr von Strom aus erneuerbaren Quellen von außerhalb De,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
10.6.1.2,Erneuerbare Quellen / Endenergie,1085.7420000000002,91585.30083975999,,,,,,,LOW,no value+label match
10.6.1.3,Erneuerbare Quellen / Endenergie,33700.86,99632.4,,,,,,,LOW,no value+label match
10.6.2,Erneuerbare Quellen / Endenergie,14779.00224440992,197521.76006286987,,,,,,,LOW,no value+label match
10.7,Erneuerbare Quellen / Endenergie,148893.30149409303,323964.21417433023,,,,,,,LOW,no value+label match
10.7.1,Erneuerbare Quellen / Endenergie,0.0,0.0,662,- STATUS-Ansatz: Die Einfuhr von Strom aus erneuerbaren Quellen von außerhalb De,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
10.7.2,Erneuerbare Quellen / Endenergie,1085.7420000000002,108739.45194664523,,,,,,,LOW,no value+label match
10.7.3,Erneuerbare Quellen / Endenergie,33700.86,99632.4,,,,,,,LOW,no value+label match
10.7.4,Erneuerbare Quellen / Endenergie,114106.69949409305,115592.362227685,,,,,,,LOW,no value+label match
