sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
2. Erneuerbare,168,G,Tiefengeothermie / Netzanschlussleistung (elektrisch) / Bruttostromerzeugung,195,0,GWh/a,,2. Erneuerbare!L168,2. Erneuerbare!M168
2. Erneuerbare,169,G,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Nutzungsgrad (elektrisch),0,0,%,1.563,2. Erneuerbare!L169,2. Erneuerbare!M169
2. Erneuerbare,170,H,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Wärmeförderung,0,0,GWh/a,,2. Erneuerbare!L170,2. Erneuerbare!M170
2. Erneuerbare,171,I,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Wärmeförderung / Techn.Pot.Äquifere Norddeutsch.Becken,6296.296296296296,,TWh,1.568,2. Erneuerbare!L171,2. Erneuerbare!M171
2. Erneuerbare,172,J,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Wärmeförderung / Techn.Pot.Äquifere Norddeutsch.Becken / Erschöpfung des Äquifer-Potenzials nach unendlich Jahren.,,,,,2. Erneuerbare!L172,2. Erneuerbare!M172
2. Erneuerbare,173,,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Wärmeförderung / Techn.Pot.Äquifere Norddeutsch.Becken / Erschöpfung des Äquifer-Potenzials nach unendlich Jahren.,,,,,2. Erneuerbare!L173,2. Erneuerbare!M173
2. Erneuerbare,174,I,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Wärmeförderung / Techn. Pot.Kristallin Norddeutsch.Becken,61111.1111111111,,TWh,1.573,2. Erneuerbare!L174,2. Erneuerbare!M174
2. Erneuerbare,175,J,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Wärmeförderung / Techn. Pot.Kristallin Norddeutsch.Becken / Erschöpfung Geoth.Gesamtpotenzial Nds. nach unendlich Jahren.,,,,,2. Erneuerbare!L175,2. Erneuerbare!M175
2. Erneuerbare,176,,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Wärmeförderung / Techn. Pot.Kristallin Norddeutsch.Becken / Erschöpfung Geoth.Gesamtpotenzial Nds. nach unendlich Jahren.,,,,,2. Erneuerbare!L176,2. Erneuerbare!M176
2. Erneuerbare,177,I,Tiefengeothermie / Netzanschlussleistung (elektrisch) / / / Wärmeförderung / eff. Nutzungsgrad KWK-Abwärme,0,0,%,1.577,2. Erneuerbare!L177,2. Erneuerbare!M177
2. Erneuerbare,178,F,Tiefengeothermie / Gebäudewärmebereitstellung (Endenergie),1797,12000,GWh/a,1.577,2. Erneuerbare!L178,2. Erneuerbare!M178
2. Erneuerbare,179,,Tiefengeothermie / Gebäudewärmebereitstellung (Endenergie),,,,,2. Erneuerbare!L179,2. Erneuerbare!M179
2. Erneuerbare,180,E,Stromwandlung / Stromspeicherung,,,,,2. Erneuerbare!L180,2. Erneuerbare!M180
2. Erneuerbare,181,F,Stromwandlung / Stromspeicherung / Bruttostromerzeugung aus Erneuerbaren Energien gesamt (inklusive Abregelung),,,,,2. Erneuerbare!L181,2. Erneuerbare!M181
2. Erneuerbare,182,E,+ / > aus Windenergie,135067.1020694442,706236.586259135,GWh/a,,2. Erneuerbare!L182,2. Erneuerbare!M182
