model,code,label,origin,rationale
VerbrauchData,4.0,Mobile Anwendungen (MA),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,4.1.1.4.0,Nutzenergie (NE) gesamt PVk,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,4.1.1.4.1,Nutzenergie (NE) gesamt PVk,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,5.0,Bedarfsniveau (statisch),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,6.1,davon Kraftstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,6.1.1,davon Wasserstoff (FC-Traktion),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,9,Grundstoff-Synthetisierung,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,9.1,Bedarfsniveau Grundstoffe (statisch),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,9.1.1,* Zieleinfluss Kunststofferzeugung/Pers.,internal,no D.xlsx 1. parameter row or ancestor matches
GebaeudewaermeData,2.0,Bedarfsniveau (statisch),internal,no D.xlsx 1. parameter row or ancestor matches
GebaeudewaermeData,2.2,"davon Gewerbe, Handel, Dienstl. + Industr.",internal,no D.xlsx 1. parameter row or ancestor matches
GebaeudewaermeData,2.3,Bedarfsniveau (Wohnfläche/Wirtschaftl.Entw.),internal,no D.xlsx 1. parameter row or ancestor matches
GebaeudewaermeData,2.5,davon Warmwasser,internal,no D.xlsx 1. parameter row or ancestor matches
GebaeudewaermeData,2.6,"Bedarfsniveau (Sanierung, Anwendungseff.)",internal,no D.xlsx 1. parameter row or ancestor matches
GebaeudewaermeData,2.7,davon Brennstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
GebaeudewaermeData,2.7.2,Wandlungsverluste Endanwendung,internal,no D.xlsx 1. parameter row or ancestor matches
GebaeudewaermeData,2.9,davon Strom (verlustarm nutzbar),internal,no D.xlsx 1. parameter row or ancestor matches
