db_code,db_name,db_category,db_subcategory,db_unit,excel_sheet,excel_row,excel_name_expected,excel_cell_status,excel_cell_ziel,oos_reason
9.3.1.2,Stromabgabe (Mangelphasen),Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,214,+ Stromabgabe (Mangelphasen),2. Erneuerbare!L214,2. Erneuerbare!M214,
9.3.2,Nutzungsgrad KWK-Abwärme effektiv,Stromwandlung,Stromwandlung,%,2. Erneuerbare,86,Nutzungsgrad KWK-Abwärme effektiv,2. Erneuerbare!L86,2. Erneuerbare!M86,
9.3.2.1,Gebäudewärme (Endenergie),Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,112,Gebäudewärme (Endenergie),2. Erneuerbare!L112,2. Erneuerbare!M112,
9.3.3,Erforderliche Speicherkapazität,Stromwandlung,Stromspeicherung,GWh,2. Erneuerbare,219,Erforderliche Speicherkapazität,2. Erneuerbare!L219,2. Erneuerbare!M219,
9.3.4,Abregelung von Wind-/Solarstrom,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,220,- Abregelung von Wind-/Solarstrom,2. Erneuerbare!L220,2. Erneuerbare!M220,
9.4,Stromangebot aus Erneuerbaren Energien (EE),Stromwandlung,Stromwandlung,,2. Erneuerbare,224,Stromangebot aus Erneuerbaren E.,2. Erneuerbare!L224,2. Erneuerbare!M224,
9.4.1,Stromangebot aus eigenen Erneuerb. E.,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,222,Stromangebot aus eigenen Erneuerb.E.,2. Erneuerbare!L222,2. Erneuerbare!M222,
9.4.2,Stromeinfuhr (Erneuerb.) aus dem Ausland,Stromwandlung,Stromwandlung,GWh/a,,,,,,NO_SECTION_MATCH: cat='Stromwandlung' sub='Stromwandlung' name='Stromeinfuhr (Erneuerb.) aus dem Ausland' (fallback section walk did not find a row)
9.4.3,Stromangebot aus Erneuerbaren E. (gesamt),Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,224,Stromangebot aus Erneuerbaren E.,2. Erneuerbare!L224,2. Erneuerbare!M224,
9.4.3.1,Übertragungsverluste Stromnetz,Stromwandlung,Stromwandlung,%,2. Erneuerbare,225,Übertragungsverluste Stromnetz,2. Erneuerbare!L225,2. Erneuerbare!M225,
9.4.3.2,inkl. Kurzzeitspeicher,Stromwandlung,Stromspeicherung,GWh/a,2. Erneuerbare,226,- inkl. Kurzzeitspeicher,2. Erneuerbare!L226,2. Erneuerbare!M226,
9.4.3.3,Stromangebot Erneuerb. (Endenergie),Stromwandlung,Stromwandlung,GWh/a,,,,,,NO_SECTION_MATCH: cat='Stromwandlung' sub='Stromwandlung' name='Stromangebot Erneuerb. (Endenergie)' (fallback section walk did not find a row)
