excel_sheet,excel_ref,cached_value,formula_text,row,col
5. Bilanz,M35,100,=100-M36-M37,35,M
5. Bilanz,O35,62.25437284436391,=P14/(P14+P17+P20)%,35,O
5. Bilanz,P35,100,=100-P36-P37,35,P
5. Bilanz,R35,1.1478926130400111,=S14/(S14+S17+S20)%,35,R
5. Bilanz,S35,1.1478926130399998,=100-S36-S37,35,S
5. Bilanz,U35,[14] [17] [20] ,=C$14&C$17&C$20,35,U
5. Bilanz,A36,S.5.36,=AT$1&B36,36,A
5. Bilanz,B36,5.36,=AV$1&D36,36,B
5. Bilanz,C36,[36] ,"=""[""&D36&""] """,36,C
5. Bilanz,D36,36,=ROW(),36,D
5. Bilanz,G36,Brennstoffe flüssig,,36,G
5. Bilanz,L36,25.08076847109947,=M17/(M14+M17+M20)%,36,L
5. Bilanz,M36,0,,36,M
5. Bilanz,O36,8.018629013416557,=P17/(P14+P17+P20)%,36,O
5. Bilanz,P36,0,,36,P
5. Bilanz,R36,98.85210738696,=S17/(S14+S17+S20)%,36,R
5. Bilanz,S36,98.85210738696,=R36,36,S
5. Bilanz,U36,[14] [17] [20] ,=C$14&C$17&C$20,36,U
5. Bilanz,A37,S.5.37,=AT$1&B37,37,A
5. Bilanz,B37,5.37,=AV$1&D37,37,B
5. Bilanz,C37,[37] ,"=""[""&D37&""] """,37,C
5. Bilanz,D37,37,=ROW(),37,D
5. Bilanz,G37,Brennstoffe fest,,37,G
5. Bilanz,L37,11.255413126980482,=M20/(M14+M17+M20)%,37,L
5. Bilanz,M37,0,,37,M
5. Bilanz,O37,29.726998142219546,=P20/(P14+P17+P20)%,37,O
5. Bilanz,P37,0,,37,P
5. Bilanz,R37,0,=S20/(S14+S17+S20)%,37,R
5. Bilanz,S37,0,=R37,37,S
5. Bilanz,U37,[14] [17] [20] ,=C$14&C$17&C$20,37,U
5. Bilanz,A38,S.5.38,=AT$1&B38,38,A
5. Bilanz,B38,5.38,=AV$1&D38,38,B
5. Bilanz,C38,[38] ,"=""[""&D38&""] """,38,C
5. Bilanz,D38,38,=ROW(),38,D
5. Bilanz,F38,Gelbe Felder: Zielansatz für den Brennstoffmix (bei 100%EE nicht relevant),,38,F
5. Bilanz,BX38,100.00000000000001,=SUM(L35:L37),38,BX
5. Bilanz,CA38,100,=SUM(O35:O37),38,CA
5. Bilanz,CD38,100.00000000000001,=SUM(R35:R37),38,CD
5. Bilanz,A39,S.5.39,=AT$1&B39,39,A
5. Bilanz,B39,5.39,=AV$1&D39,39,B
5. Bilanz,C39,[39] ,"=""[""&D39&""] """,39,C
5. Bilanz,D39,39,=ROW(),39,D
5. Bilanz,A40,S.5.40,=AT$1&B40,40,A
5. Bilanz,B40,5.40,=AV$1&D40,40,B
5. Bilanz,C40,[40] ,"=""[""&D40&""] """,40,C
5. Bilanz,D40,40,=ROW(),40,D
5. Bilanz,F40,Endenergie: Fossile Wärme,,40,F
5. Bilanz,A41,S.5.41,=AT$1&B41,41,A
5. Bilanz,B41,5.41,=AV$1&D41,41,B
5. Bilanz,C41,[41] ,"=""[""&D41&""] """,41,C
5. Bilanz,D41,41,=ROW(),41,D
5. Bilanz,G41,Anteil an jew. Wärmesumme in % ,,41,G
5. Bilanz,K41,Gebäudewärme,,41,K
5. Bilanz,N41,Prozesswärme,,41,N
5. Bilanz,A42,S.5.42,=AT$1&B42,42,A
5. Bilanz,B42,5.42,=AV$1&D42,42,B
5. Bilanz,C42,[42] ,"=""[""&D42&""] """,42,C
5. Bilanz,D42,42,=ROW(),42,D
5. Bilanz,L42,Status,,42,L
5. Bilanz,M42,Ziel,,42,M
5. Bilanz,O42,Status,,42,O
5. Bilanz,P42,Ziel,,42,P
5. Bilanz,A43,S.5.43,=AT$1&B43,43,A
5. Bilanz,B43,5.43,=AV$1&D43,43,B
5. Bilanz,C43,[43] ,"=""[""&D43&""] """,43,C
5. Bilanz,D43,43,=ROW(),43,D
5. Bilanz,G43,Abwärme,,43,G
5. Bilanz,L43,73.51452171596057,=M23/(M24+M23)%,43,L
5. Bilanz,M43,73.51452171596056,=100-M44-M45,43,M
5. Bilanz,O43,100,,43,O
5. Bilanz,P43,100,=100-P44-P45,43,P
5. Bilanz,R43,[23] [24] ,=C23&C24,43,R
5. Bilanz,A44,S.5.44,=AT$1&B44,44,A
5. Bilanz,B44,5.44,=AV$1&D44,44,B
5. Bilanz,C44,[44] ,"=""[""&D44&""] """,44,C
5. Bilanz,D44,44,=ROW(),44,D
5. Bilanz,G44,Fernheizwerk,,44,G
5. Bilanz,L44,26.48547828403944,=M24/(M24+M23)%,44,L
5. Bilanz,M44,26.48547828403944,=L44,44,M
5. Bilanz,R44,[23] [24] ,=C23&C24,44,R
5. Bilanz,A45,S.5.45,=AT$1&B45,45,A
5. Bilanz,B45,5.45,=AV$1&D45,45,B
5. Bilanz,C45,[45] ,"=""[""&D45&""] """,45,C
5. Bilanz,D45,45,=ROW(),45,D
5. Bilanz,F45,Gelbes Felder: Zielansatz für den Anteil Fernheizwerke an fossiler Wärmeversorgung (bei 100%EE nicht relevant),,45,F
5. Bilanz,A46,S.5.46,=AT$1&B46,46,A
5. Bilanz,B46,5.46,=AV$1&D46,46,B
5. Bilanz,C46,[46] ,"=""[""&D46&""] """,46,C
5. Bilanz,D46,46,=ROW(),46,D
5. Bilanz,A47,S.5.47,=AT$1&B47,47,A
5. Bilanz,B47,5.47,=AV$1&D47,47,B
5. Bilanz,C47,[47] ,"=""[""&D47&""] """,47,C
5. Bilanz,D47,47,=ROW(),47,D
5. Bilanz,F47,Ziel-Bilanz Endenergie:   Erneuerbar + Fossil (Aktiva) = Verbrauch (Passiva) ,,47,F
5. Bilanz,A48,S.5.48,=AT$1&B48,48,A
5. Bilanz,B48,5.48,=AV$1&D48,48,B
5. Bilanz,C48,[48] ,"=""[""&D48&""] """,48,C
5. Bilanz,D48,48,=ROW(),48,D
