day,field,our_value,excel_cell,excel_value,drift,verdict
217,wind_promille,0.6579146109086006,C373,0.6579146109086006,0.0,EXACT
217,solar_promille,3.4870551714051836,D373,3.4870551714051836,0.0,EXACT
217,heizung_abwaerm_promille,-2.739726027397261,E373,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
217,verbrauch_promille,2.190417966462386,F373,2.1904179664623866,2.0274176739304443e-16,PASS_COSMETIC
218,wind_promille,1.858538371112726,C374,1.858538371112726,0.0,EXACT
218,solar_promille,2.573587755464138,D374,2.5735877554641386,1.725564667096314e-16,PASS_COSMETIC
218,heizung_abwaerm_promille,-2.739726027397261,E374,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
218,verbrauch_promille,2.123950758119681,F374,2.123950758119681,0.0,EXACT
219,wind_promille,4.993402029526494,C375,4.993402029526494,0.0,EXACT
219,solar_promille,2.9855345081985205,D375,2.9855345081985205,0.0,EXACT
219,heizung_abwaerm_promille,-2.739726027397261,E375,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
219,verbrauch_promille,2.6480646579683427,F375,2.6480646579683427,0.0,EXACT
220,wind_promille,4.511440325205609,C376,4.511440325205609,0.0,EXACT
220,solar_promille,4.048427554690946,D376,4.048427554690946,0.0,EXACT
220,heizung_abwaerm_promille,-2.739726027397261,E376,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
220,verbrauch_promille,2.667668942111729,F376,2.667668942111729,0.0,EXACT
221,wind_promille,2.3551098201386,C377,2.3551098201386,0.0,EXACT
221,solar_promille,3.5405297685569197,D377,3.5405297685569197,0.0,EXACT
221,heizung_abwaerm_promille,-2.739726027397261,E377,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
221,verbrauch_promille,2.674344995630828,F377,2.674344995630828,0.0,EXACT
222,wind_promille,0.6858744578277799,C378,0.6858744578277799,0.0,EXACT
222,solar_promille,5.398196087079745,D378,5.398196087079745,0.0,EXACT
222,heizung_abwaerm_promille,-2.739726027397261,E378,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
222,verbrauch_promille,2.6436150480872604,F378,2.6436150480872604,0.0,EXACT
223,wind_promille,0.5772272185552191,C379,0.5772272185552191,0.0,EXACT
223,solar_promille,5.594483840264141,D379,5.594483840264141,0.0,EXACT
223,heizung_abwaerm_promille,-2.739726027397261,E379,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
223,verbrauch_promille,2.587203979925099,F379,2.5872039799250994,1.7164831737114102e-16,PASS_COSMETIC
224,wind_promille,1.399772008222813,C380,1.3997720082228127,1.586291221860801e-16,PASS_COSMETIC
224,solar_promille,3.355461949891284,D380,3.355461949891284,0.0,EXACT
224,heizung_abwaerm_promille,-2.739726027397261,E380,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
224,verbrauch_promille,2.305646256914645,F380,2.305646256914645,0.0,EXACT
225,wind_promille,1.1199240700858406,C381,1.1199240700858406,0.0,EXACT
225,solar_promille,4.19573954691225,D381,4.19573954691225,0.0,EXACT
225,heizung_abwaerm_promille,-2.739726027397261,E381,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
225,verbrauch_promille,2.105484822489942,F381,2.105484822489942,0.0,EXACT
226,wind_promille,0.5894353854569706,C382,0.5894353854569706,0.0,EXACT
226,solar_promille,4.695314033498072,D382,4.695314033498072,0.0,EXACT
226,heizung_abwaerm_promille,-2.739726027397261,E382,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
226,verbrauch_promille,2.59659699386017,F382,2.59659699386017,0.0,EXACT
227,wind_promille,1.1992235718287192,C383,1.1992235718287192,0.0,EXACT
227,solar_promille,4.100960745477252,D383,4.100960745477252,0.0,EXACT
227,heizung_abwaerm_promille,-2.739726027397261,E383,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
227,verbrauch_promille,2.641789539098484,F383,2.6417895390984842,1.681016611193066e-16,PASS_COSMETIC
228,wind_promille,0.6029031948495204,C384,0.6029031948495204,0.0,EXACT
228,solar_promille,4.333026466540148,D384,4.333026466540148,0.0,EXACT
228,heizung_abwaerm_promille,-2.739726027397261,E384,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
228,verbrauch_promille,2.667140189059325,F384,2.667140189059325,0.0,EXACT
229,wind_promille,1.2839340901290013,C385,1.2839340901290013,0.0,EXACT
229,solar_promille,3.5754477979285357,D385,3.5754477979285357,0.0,EXACT
229,heizung_abwaerm_promille,-2.739726027397261,E385,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
229,verbrauch_promille,2.712544672504594,F385,2.712544672504594,0.0,EXACT
230,wind_promille,1.04282059778996,C386,1.04282059778996,0.0,EXACT
230,solar_promille,5.165967430299754,D386,5.165967430299754,0.0,EXACT
230,heizung_abwaerm_promille,-2.739726027397261,E386,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
230,verbrauch_promille,2.667020017911051,F386,2.667020017911051,0.0,EXACT
231,wind_promille,1.5034544641216003,C387,1.5034544641216003,0.0,EXACT
231,solar_promille,4.496283529075931,D387,4.496283529075931,0.0,EXACT
231,heizung_abwaerm_promille,-2.739726027397261,E387,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
231,verbrauch_promille,2.3278172875386605,F387,2.3278172875386605,0.0,EXACT
232,wind_promille,0.470869120378209,C388,0.470869120378209,0.0,EXACT
232,solar_promille,5.071795111811717,D388,5.071795111811717,0.0,EXACT
232,heizung_abwaerm_promille,-2.739726027397261,E388,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
232,verbrauch_promille,2.138912612312256,F388,2.138912612312256,0.0,EXACT
233,wind_promille,0.3369745697594008,C389,0.3369745697594008,0.0,EXACT
233,solar_promille,5.0360035659567925,D389,5.0360035659567925,0.0,EXACT
233,heizung_abwaerm_promille,-2.739726027397261,E389,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
233,verbrauch_promille,2.6857557923919138,F389,2.6857557923919138,0.0,EXACT
234,wind_promille,0.4818229152598353,C390,0.4818229152598353,0.0,EXACT
234,solar_promille,4.71313739055127,D390,4.71313739055127,0.0,EXACT
234,heizung_abwaerm_promille,-2.739726027397261,E390,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
234,verbrauch_promille,2.741199482810471,F390,2.741199482810471,0.0,EXACT
235,wind_promille,0.3907526956810469,C391,0.3907526956810469,0.0,EXACT
235,solar_promille,5.096384827116446,D391,5.096384827116446,0.0,EXACT
235,heizung_abwaerm_promille,-2.739726027397261,E391,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
235,verbrauch_promille,2.7128145113557176,F391,2.7128145113557176,0.0,EXACT
236,wind_promille,0.590217171940102,C392,0.590217171940102,0.0,EXACT
236,solar_promille,4.222850239839792,D392,4.222850239839792,0.0,EXACT
236,heizung_abwaerm_promille,-2.7281144877569257,E392,-2.7281144877569257,0.0,EXACT
236,verbrauch_promille,2.7559259107989273,F392,2.7559259107989273,0.0,EXACT
237,wind_promille,1.3129181651822606,C393,1.3129181651822606,0.0,EXACT
237,solar_promille,2.685646794895356,D393,2.685646794895356,0.0,EXACT
237,heizung_abwaerm_promille,-2.711034097468768,E393,-2.711034097468768,0.0,EXACT
237,verbrauch_promille,2.738177724663878,F393,2.738177724663878,0.0,EXACT
238,wind_promille,1.496328787771981,C394,1.496328787771981,0.0,EXACT
238,solar_promille,3.5057203629966995,D394,3.5057203629966995,0.0,EXACT
238,heizung_abwaerm_promille,-2.6939537071806106,E394,-2.6939537071806106,0.0,EXACT
238,verbrauch_promille,2.305184690458775,F394,2.305184690458775,0.0,EXACT
239,wind_promille,0.960095290109764,C395,0.9600952901097641,1.1563675356622453e-16,PASS_COSMETIC
239,solar_promille,2.008929501883652,D395,2.008929501883652,0.0,EXACT
239,heizung_abwaerm_promille,-2.6768733168924532,E395,-2.6768733168924532,0.0,EXACT
239,verbrauch_promille,2.1268315882832978,F395,2.1268315882832978,0.0,EXACT
240,wind_promille,1.1046168664284852,C396,1.1046168664284852,0.0,EXACT
240,solar_promille,2.2537992547148313,D396,2.2537992547148313,0.0,EXACT
240,heizung_abwaerm_promille,-2.659792926604295,E396,-2.6597929266042954,1.669638284274342e-16,PASS_COSMETIC
240,verbrauch_promille,2.66747885320446,F396,2.66747885320446,0.0,EXACT
241,wind_promille,0.4171243741041572,C397,0.4171243741041572,0.0,EXACT
241,solar_promille,1.9971528703314885,D397,1.9971528703314883,1.1118057521965069e-16,PASS_COSMETIC
241,heizung_abwaerm_promille,-2.642712536316138,E397,-2.642712536316138,0.0,EXACT
241,verbrauch_promille,2.7341896812386657,F397,2.7341896812386657,0.0,EXACT
242,wind_promille,0.9621683419077304,C398,0.9621683419077304,0.0,EXACT
242,solar_promille,3.130076593229231,D398,3.130076593229231,0.0,EXACT
242,heizung_abwaerm_promille,-2.6256321460279803,E398,-2.6256321460279803,0.0,EXACT
242,verbrauch_promille,2.7099151092873677,F398,2.7099151092873677,0.0,EXACT
243,wind_promille,2.307224080429139,C399,2.307224080429139,0.0,EXACT
243,solar_promille,3.529490873723819,D399,3.529490873723819,0.0,EXACT
243,heizung_abwaerm_promille,-2.608551755739823,E399,-2.608551755739823,0.0,EXACT
243,verbrauch_promille,2.7207425297468326,F399,2.7207425297468326,0.0,EXACT
244,wind_promille,1.1701534124211377,C400,1.1701534124211377,0.0,EXACT
244,solar_promille,3.0582355199673175,D400,3.0582355199673175,0.0,EXACT
244,heizung_abwaerm_promille,-2.5914713654516652,E400,-2.5914713654516652,0.0,EXACT
244,verbrauch_promille,2.7246999841524846,F400,2.7246999841524846,0.0,EXACT
245,wind_promille,0.3155290245917965,C401,0.31552902459179655,1.7593041179990725e-16,PASS_COSMETIC
245,solar_promille,4.351773125990211,D401,4.351773125990211,0.0,EXACT
245,heizung_abwaerm_promille,-2.574390975163508,E401,-2.574390975163508,0.0,EXACT
245,verbrauch_promille,2.2644084349195217,F401,2.2644084349195217,0.0,EXACT
246,wind_promille,0.7582836975777576,C402,0.7582836975777576,0.0,EXACT
246,solar_promille,4.003855584081526,D402,4.003855584081526,0.0,EXACT
246,heizung_abwaerm_promille,-2.55731058487535,E402,-2.55731058487535,0.0,EXACT
246,verbrauch_promille,2.126856168745445,F402,2.126856168745445,0.0,EXACT
247,wind_promille,0.8863069438670718,C403,0.8863069438670718,0.0,EXACT
247,solar_promille,5.224800802147018,D403,5.224800802147018,0.0,EXACT
247,heizung_abwaerm_promille,-2.540230194587193,E403,-2.540230194587193,0.0,EXACT
247,verbrauch_promille,2.6352839101169367,F403,2.6352839101169367,0.0,EXACT
248,wind_promille,1.316289509589292,C404,1.316289509589292,0.0,EXACT
248,solar_promille,5.132226158884927,D404,5.132226158884927,0.0,EXACT
248,heizung_abwaerm_promille,-2.523149804299035,E404,-2.523149804299035,0.0,EXACT
248,verbrauch_promille,2.740166557167809,F404,2.740166557167809,0.0,EXACT
249,wind_promille,1.0017091697185985,C405,1.0017091697185985,0.0,EXACT
249,solar_promille,5.167384065840042,D405,5.167384065840042,0.0,EXACT
249,heizung_abwaerm_promille,-2.5060694140108777,E405,-2.5060694140108777,0.0,EXACT
249,verbrauch_promille,2.754352214989033,F405,2.754352214989033,0.0,EXACT
250,wind_promille,2.160708509372544,C406,2.160708509372544,0.0,EXACT
250,solar_promille,5.280588181283057,D406,5.280588181283057,0.0,EXACT
250,heizung_abwaerm_promille,-2.48898902372272,E406,-2.48898902372272,0.0,EXACT
250,verbrauch_promille,2.7783760662264334,F406,2.7783760662264334,0.0,EXACT
251,wind_promille,1.2330635071951808,C407,1.2330635071951808,0.0,EXACT
251,solar_promille,5.174032748295895,D407,5.174032748295895,0.0,EXACT
251,heizung_abwaerm_promille,-2.4719086334345626,E407,-2.4719086334345626,0.0,EXACT
251,verbrauch_promille,2.726530409233691,F407,2.726530409233691,0.0,EXACT
252,wind_promille,0.3458500423723882,C408,0.3458500423723882,0.0,EXACT
252,solar_promille,5.018415560494952,D408,5.018415560494952,0.0,EXACT
252,heizung_abwaerm_promille,-2.454828243146405,E408,-2.454828243146405,0.0,EXACT
252,verbrauch_promille,2.3365384355083822,F408,2.3365384355083822,0.0,EXACT
253,wind_promille,0.1406530508448893,C409,0.14065305084488938,5.920008584720453e-16,PASS_COSMETIC
253,solar_promille,4.773907887035092,D409,4.773907887035092,0.0,EXACT
253,heizung_abwaerm_promille,-2.4377478528582475,E409,-2.4377478528582475,0.0,EXACT
253,verbrauch_promille,2.1665257572555956,F409,2.1665257572555956,0.0,EXACT
254,wind_promille,0.5676103664009252,C410,0.5676103664009252,0.0,EXACT
254,solar_promille,4.787327453734618,D410,4.787327453734618,0.0,EXACT
254,heizung_abwaerm_promille,-2.4206674625700897,E410,-2.4206674625700897,0.0,EXACT
254,verbrauch_promille,2.7504712331322834,F410,2.7504712331322834,0.0,EXACT
255,wind_promille,0.6502495897267985,C411,0.6502495897267985,0.0,EXACT
255,solar_promille,3.8774174676167865,D411,3.8774174676167865,0.0,EXACT
255,heizung_abwaerm_promille,-2.4035870722819324,E411,-2.4035870722819324,0.0,EXACT
255,verbrauch_promille,2.858542785472347,F411,2.858542785472347,0.0,EXACT
